"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2020","1,962.30","1,962.50","1,979.40","1,955.90","0.11K","-0.37%"
"Aug 21, 2020","1,969.60","1,982.30","1,982.30","1,959.90","0.12K","0.01%"
"Aug 20, 2020","1,969.50","1,955.60","1,976.00","1,955.50","0.09K","-1.15%"
"Aug 19, 2020","1,992.50","2,036.00","2,036.00","1,952.40","0.33K","-2.15%"
"Aug 18, 2020","2,036.20","2,024.40","2,041.10","2,023.20","0.08K","0.72%"
"Aug 17, 2020","2,021.60","1,981.70","2,012.30","1,971.60","0.11K","2.27%"
"Aug 14, 2020","1,976.80","1,996.30","1,996.90","1,971.00","0.13K","-1.08%"
"Aug 13, 2020","1,998.30","1,973.90","1,993.90","1,971.60","0.03K","1.10%"
"Aug 12, 2020","1,976.50","1,955.60","1,986.90","1,913.00","0.11K","0.02%"
"Aug 11, 2020","1,976.10","2,056.50","2,062.20","1,953.50","0.34K","-4.65%"
"Aug 10, 2020","2,072.40","2,068.70","2,080.00","2,065.00","0.09K","0.53%"
"Aug 07, 2020","2,061.40","2,120.00","2,120.00","2,060.00","0.39K","-1.99%"
"Aug 06, 2020","2,103.20","2,086.70","2,115.00","2,085.90","0.40K","1.03%"
"Aug 05, 2020","2,081.70","2,070.00","2,100.00","2,063.00","0.38K","1.42%"
"Aug 04, 2020","2,052.60","2,024.60","2,068.40","2,018.70","0.39K","1.73%"
"Aug 03, 2020","2,017.70","2,026.90","2,040.00","2,015.40","0.42K","0.03%"
"Jul 31, 2020","2,017.10","2,005.20","2,035.00","2,005.20","0.27K","0.97%"
"Jul 30, 2020","1,997.70","2,016.00","2,016.00","1,988.90","0.03K","-0.50%"
"Jul 29, 2020","2,007.70","2,001.00","2,025.00","2,001.00","0.16K","0.56%"
"Jul 28, 2020","1,996.60","2,008.10","2,028.10","1,967.20","0.16K","0.42%"
"Jul 27, 2020","1,988.30","1,964.80","1,999.90","1,964.80","0.18K","1.57%"
"Jul 24, 2020","1,957.50","1,941.80","1,961.00","1,941.00","0.31K","0.53%"
"Jul 23, 2020","1,947.20","1,923.30","1,945.00","1,923.30","0.57K","1.47%"
"Jul 22, 2020","1,919.00","1,909.50","1,924.20","1,906.40","0.13K","1.43%"
"Jul 21, 2020","1,891.90","1,867.60","1,891.30","1,867.00","0.14K","1.67%"
"Jul 20, 2020","1,860.80","1,862.00","1,862.40","1,862.00","0.03K","0.35%"
"Jul 17, 2020","1,854.30","1,840.60","1,851.00","1,840.10","0.01K","0.37%"
"Jul 16, 2020","1,847.40","1,856.00","1,856.00","1,856.00","0.03K","-0.83%"
"Jul 15, 2020","1,862.80","1,862.30","1,863.10","1,854.30","0.10K","0.01%"
"Jul 14, 2020","1,862.70","1,850.00","1,863.90","1,850.00","0.06K","-0.11%"
"Jul 13, 2020","1,864.80","1,857.30","1,858.30","1,857.30","0.10K","0.69%"
"Jul 10, 2020","1,852.00","1,853.70","1,853.70","1,851.30","0.12K","-0.11%"
"Jul 09, 2020","1,854.00","1,871.90","1,871.90","1,871.90","0.12K","-0.92%"
"Jul 08, 2020","1,871.20","1,851.80","1,867.60","1,851.80","0.25K","1.05%"
"Jul 07, 2020","1,851.80","1,833.90","1,853.60","1,833.90","0.30K","1.15%"
"Jul 06, 2020","1,830.80","1,825.80","1,828.60","1,825.80","1.74K","2.42%"
"Jul 03, 2020","1,787.60","1,786.90","1,788.70","1,783.65","-","-2.05%"
"Jul 02, 2020","1,825.00","1,799.00","1,821.30","1,798.80","0.17K","0.56%"
"Jul 01, 2020","1,814.80","1,830.00","1,838.00","1,830.00","0.45K","-1.00%"
"Jun 30, 2020","1,833.20","1,816.90","1,835.00","1,813.90","0.04K","1.14%"
"Jun 29, 2020","1,812.60","1,816.50","1,816.50","1,811.20","0.09K","0.10%"
"Jun 26, 2020","1,810.80","1,798.20","1,814.00","1,798.00","0.10K","0.55%"
"Jun 25, 2020","1,800.90","1,800.00","1,800.00","1,800.00","0.05K","-0.23%"
"Jun 24, 2020","1,805.10","1,806.50","1,806.50","1,806.50","0.30K","-0.25%"
"Jun 23, 2020","1,809.70","1,803.00","1,803.00","1,803.00","0.26K","0.84%"
"Jun 22, 2020","1,794.70","1,787.00","1,798.40","1,783.10","0.07K","0.71%"
"Jun 19, 2020","1,782.10","1,767.00","1,786.90","1,761.80","0.52K","1.15%"
"Jun 18, 2020","1,761.90","1,775.00","1,775.00","1,762.30","0.08K","-0.31%"
"Jun 17, 2020","1,767.40","1,768.20","1,768.20","1,768.20","0.02K","-0.05%"
"Jun 16, 2020","1,768.20","1,770.00","1,770.00","1,770.00","0.20K","0.55%"
"Jun 15, 2020","1,758.50","1,770.30","1,770.30","1,760.00","0.02K","-0.54%"
